Industry,Stage,Laid_Off_Count,Funds_Raised
Other,Post-IPO,117,574
Other,Series A,60,107
Other,Post-IPO,30,44
Other,Series C,59,672
Other,Post-IPO,225,316
Other,Series B,115,1700
Other,Post-IPO,60,235
Other,Post-IPO,85,152
Other,Post-IPO,200,326
Other,Post-IPO,100,260
Other,Post-IPO,62,154
Other,Post-IPO,1079,748
Other,Post-IPO,1500,614
Other,Post-IPO,1199,1300
Other,Post-IPO,137,168
Other,Series B,100,216
Other,Post-IPO,1100,366
Other,Post-IPO,170,2300
Other,Post-IPO,155,307
Other,Series E,90,415
Other,Post-IPO,1300,276
Other,Acquired,27,974
Product,Series F,237,1400
Product,Post-IPO,130,413
Product,Series C,170,192
Product,Series F,100,469
Product,Seed,37,1
Real Estate,Post-IPO,211,30
Real Estate,Series B,40,57
Real Estate,Series B,94,180
Real Estate,Series B,34,114
Real Estate,Series B,44,31
Real Estate,Post-IPO,560,1900
Real Estate,Series C,61,149
Real Estate,Post-IPO,201,320
Real Estate,Post-IPO,300,22200
Real Estate,Post-IPO,23,97
Recruiting,Series C,70,148
Recruiting,Private Equity,100,110
Recruiting,Series D,53,103
Recruiting,Acquired,1376,154
Recruiting,Acquired,58,153
Recruiting,Post-IPO,270,769
Retail,Post-IPO,17260,108
Retail,Series D,35,100
Retail,Series D,22,181
Retail,Acquired,119,62
Retail,Post-IPO,32,365
Retail,Series B,54,75
Retail,Post-IPO,200,451
Retail,Acquired,100,119
Retail,Post-IPO,225,97
Retail,Series G,250,1700
Retail,Series E,100,581
Retail,Post-IPO,500,1400
Retail,Seed,24,40
Retail,Post-IPO,40,71
Retail,Post-IPO,958,79
Retail,Post-IPO,230,356
Retail,Post-IPO,1750,1700
Retail,Post-IPO,405,1600
Retail,Acquired,839,194
Retail,Post-IPO,520,1200
Sales,Acquired,140,32
Sales,Series F,20,496
Sales,Series C,17,116
Sales,Acquired,70,2
Sales,Post-IPO,680,536
Sales,Series E,80,583
Sales,Series F,240,644
Sales,Series G,70,489
Sales,Post-IPO,8000,65
Sales,Acquired,100,245
Sales,Series G,221,1100
Sales,Post-IPO,120,7
Security,Post-IPO,290,35
Security,Series B,50,146
Security,Post-IPO,121,161
Security,Series C,30,256
Security,Series D,50,364
Security,Series B,30,97
Security,Series E,60,288
Security,Acquired,140,125
Security,Post-IPO,69,349
Security,Private Equity,100,205
Security,Series F,100,416
Security,Series C,8,119
Security,Series B,100,80
Security,Post-IPO,300,1200
Security,Post-IPO,470,89
Security,Post-IPO,512,83
Security,Series F,128,849
Security,Acquired,100,154
Security,Acquired,450,125
Security,Series B,19,126
Security,Post-IPO,177,148
Support,Post-IPO,155,253
Support,Post-IPO,114,484
Support,Acquired,59,325
Support,Private Equity,30,178
Support,Post-IPO,100,429
Support,Post-IPO,186,279
Support,Series E,76,620
Support,Series C,200,102
Support,Acquired,320,85
Transportation,Post-IPO,46,314
Transportation,Acquired,900,15000
Transportation,Post-IPO,40,400
Transportation,Post-IPO,230,317
Transportation,Post-IPO,1300,8300
Transportation,Post-IPO,1072,4900
Transportation,Series D,29,149
Transportation,Post-IPO,270,3300
Transportation,Series D,340,2100
Transportation,Series B,128,390
Transportation,Post-IPO,300,1200
Transportation,Post-IPO,20,10700
Transportation,Post-IPO,102,340
Transportation,Post-IPO,150,648
Transportation,Post-IPO,200,25200
Transportation,Acquired,220,575
Transportation,Post-IPO,395,1300
Transportation,Subsidiary,209,5500
Travel,Post-IPO,30,6400
Travel,Private Equity,37,686
Travel,Series F,339,224
Travel,Post-IPO,100,3300
Travel,Post-IPO,159,179
Travel,Acquired,80,229
Travel,Post-IPO,1100,1700
Travel,Post-IPO,100,839
Travel,Post-IPO,125,3
Travel,Post-IPO,1300,834
