Industry,Stage,Laid_Off_Count,Funds_Raised,Percentage
Real Estate,Post-IPO,201,320,0.04
Finance,Post-IPO,150,5600,0.07
Media,Post-IPO,560,208,0.1
Travel,Post-IPO,1100,1700,0.15
Sales,Post-IPO,8000,65,0.1
Sales,Acquired,100,245,0.1
HR,Series B,73,106,0.5
Other,Post-IPO,75,316,0.25
Education,Acquired,29,8,0.14
Security,Post-IPO,512,83,0.15
Sales,Series G,221,1100,0.08
Hardware,Series F,130,365,0.2
Other,Post-IPO,60,235,0.06
Legal,Series D,130,171,0.15
Media,Post-IPO,475,525,0.08
Data,Series F,100,274,0.15
Media,Series F,120,410,0.4
Other,Post-IPO,85,152,0.03
Marketing,Series C,100,104,0.3
Finance,Series E,104,646,0.19
Security,Acquired,100,154,0.14
Travel,Post-IPO,100,839,0.14
Consumer,Post-IPO,130,455.2,0.07
Security,Acquired,450,125,0.1
Other,Post-IPO,200,326,0.5
Data,Post-IPO,825,2400,0.07
Support,Post-IPO,100,429,0.04
Recruiting,Acquired,58,153,0.1
Other,Post-IPO,100,260,0.24
Security,Series B,19,126,0.25
Finance,Series B,86,50,0.4
Crypto,Series B,16,149,0.09
Finance,Series B,30,79,0.33
Healthcare,Post-IPO,300,172,0.06
Retail,Post-IPO,230,356,0.07
Media,Series C,39,28,0.13
Other,Post-IPO,1079,748,0.05
Finance,Series F,123,565,0.11
Travel,Post-IPO,125,3,0.04
Marketing,Acquired,100,16,0.2
Transportation,Post-IPO,102,340,0.24
Other,Post-IPO,1500,614,0.17
Healthcare,Post-IPO,270,503,0.25
Consumer,Post-IPO,200,12900,0.1
Healthcare,Series D,20,156,0.1
Logistics,Subsidiary,150,2700,0.03
Support,Series E,76,620,0.1
Other,Post-IPO,1149,1300,0.04
Finance,Post-IPO,365,144,0.2
Other,Post-IPO,137,168,0.15
Travel,Post-IPO,1300,834,0.17
Other,Series B,100,216,0.25
Data,Series E,60,569,0.06
Other,Post-IPO,1100,366,0.1
Marketing,Series F,40,456,0.1
Other,Post-IPO,170,2300,0.23
Media,Series F,130,307,0.07
Transportation,Post-IPO,395,1300,0.11
Other,Post-IPO,155,307,0.1
Retail,Post-IPO,1750,1700,0.1
Transportation,Subsidiary,209,5500,0.08
Healthcare,Series C,56,215,0.28
Retail,Post-IPO,405,1600,0.34
Other,Series E,90,415,0.1
HR,Post-IPO,525,230,0.03
Consumer,Acquired,1600,6,0.2
Manufacturing,Post-IPO,700,2000,0.07
Support,Acquired,320,85,0.08
Product,Seed,37,1,0.35
Recruiting,Post-IPO,270,769,0.2
Other,Post-IPO,1300,276,0.15
Sales,Post-IPO,120,7,0.03
Security,Post-IPO,177,148,0.03
Retail,Acquired,839,194,1
Fitness,Series C,80,619,0.15
Retail,Post-IPO,500,1200,0.04
Healthcare,Post-IPO,23,59,0.28
Consumer,Acquired,85,30,0.07
Finance,Post-IPO,100,1100,0.07
